"scenario_id","pathogen","intervention","e_max_mult","delay_max","antiviral_start","n_sim","p_epidemic","mean_infected","median_infected","q25_infected","q75_infected"
141,"H1N1","Intensive",0.5,4,14,500,0.01,19.152,5,2,24
142,"SARS-CoV-2","Intensive",0.5,4,14,500,0.004,9.696,6,3,13
143,"H1N1","Maximum",0.5,4,14,500,0.008,15.914,5,2,20.25
144,"SARS-CoV-2","Maximum",0.5,4,14,500,0,8.828,6,3,12
145,"H1N1","Mild",0.75,4,14,500,0.31,53.138,5,2,105.25
146,"SARS-CoV-2","Mild",0.75,4,14,500,0.724,65.402,71.5,6,95
147,"H1N1","Moderate",0.75,4,14,500,0.022,29.122,5,2,30.25
148,"SARS-CoV-2","Moderate",0.75,4,14,500,0.002,12.92,7,3,15
149,"H1N1","Intensive",0.75,4,14,500,0.006,18.048,5,2,24
150,"SARS-CoV-2","Intensive",0.75,4,14,500,0.002,9.264,6,2.75,11.25
151,"H1N1","Maximum",0.75,4,14,500,0.006,16.028,5,2,21
152,"SARS-CoV-2","Maximum",0.75,4,14,500,0,8.718,6,2,11
153,"H1N1","Mild",1,4,14,500,0.284,57.366,5,2,110.5
154,"SARS-CoV-2","Mild",1,4,14,500,0.704,69.966,77,5,107
155,"H1N1","Moderate",1,4,14,500,0.012,25.856,5,2,26
156,"SARS-CoV-2","Moderate",1,4,14,500,0,11.51,6,3,14
157,"H1N1","Intensive",1,4,14,500,0.006,17.052,5,2,22
158,"SARS-CoV-2","Intensive",1,4,14,500,0.002,8.76,6,2.75,11.25
159,"H1N1","Maximum",1,4,14,500,0.004,15.304,5,2,22
160,"SARS-CoV-2","Maximum",1,4,14,500,0,8.532,6,2,11
161,"H1N1","Mild",0,1,28,500,0.342,49.682,5,2,104.25
162,"SARS-CoV-2","Mild",0,1,28,500,0.766,62.136,68,36.75,90
163,"H1N1","Moderate",0,1,28,500,0.072,36.066,5,2,58
164,"SARS-CoV-2","Moderate",0,1,28,500,0.046,35.674,21,5,52
165,"H1N1","Intensive",0,1,28,500,0.076,30.638,5,2,48.25
166,"SARS-CoV-2","Intensive",0,1,28,500,0.048,27.91,20,5,43.25
167,"H1N1","Maximum",0,1,28,500,0.076,29.452,5,2,49.25
168,"SARS-CoV-2","Maximum",0,1,28,500,0.052,25.534,19,5,38
169,"H1N1","Mild",0.25,1,28,500,0.336,52.378,5,2,102.25
170,"SARS-CoV-2","Mild",0.25,1,28,500,0.762,64.16,72,31.75,94
171,"H1N1","Moderate",0.25,1,28,500,0.074,36.07,5,2,57
172,"SARS-CoV-2","Moderate",0.25,1,28,500,0.054,30.848,20,5,46
173,"H1N1","Intensive",0.25,1,28,500,0.07,30.208,5,2,50.25
174,"SARS-CoV-2","Intensive",0.25,1,28,500,0.04,25.134,19,5,38.25
175,"H1N1","Maximum",0.25,1,28,500,0.068,29.582,5,2,48
176,"SARS-CoV-2","Maximum",0.25,1,28,500,0.048,23.582,18,5,37
177,"H1N1","Mild",0.5,1,28,500,0.322,56.216,5,2,104
178,"SARS-CoV-2","Mild",0.5,1,28,500,0.742,65.948,73,12.25,97
179,"H1N1","Moderate",0.5,1,28,500,0.072,33.138,5,2,53.5
180,"SARS-CoV-2","Moderate",0.5,1,28,500,0.038,28.464,18.5,5,44
181,"H1N1","Intensive",0.5,1,28,500,0.07,29.522,5,2,46.25
182,"SARS-CoV-2","Intensive",0.5,1,28,500,0.03,23.772,17.5,5,38
183,"H1N1","Maximum",0.5,1,28,500,0.068,29.472,5,2,48.25
184,"SARS-CoV-2","Maximum",0.5,1,28,500,0.036,22.664,18.5,5,34
185,"H1N1","Mild",0.75,1,28,500,0.3,61.24,5,2,101
186,"SARS-CoV-2","Mild",0.75,1,28,500,0.736,70.33,75,13.75,107
187,"H1N1","Moderate",0.75,1,28,500,0.07,33.216,5,2,55.25
188,"SARS-CoV-2","Moderate",0.75,1,28,500,0.04,26.178,18,5,40
189,"H1N1","Intensive",0.75,1,28,500,0.07,29.202,5,2,46
190,"SARS-CoV-2","Intensive",0.75,1,28,500,0.038,22.488,17.5,5,35
191,"H1N1","Maximum",0.75,1,28,500,0.068,29.438,5,2,47
192,"SARS-CoV-2","Maximum",0.75,1,28,500,0.038,21.902,16,5,32
193,"H1N1","Mild",1,1,28,500,0.234,70.368,5,2,89.25
194,"SARS-CoV-2","Mild",1,1,28,500,0.714,78.554,76,7,120.25
195,"H1N1","Moderate",1,1,28,500,0.066,31.834,5,2,52
196,"SARS-CoV-2","Moderate",1,1,28,500,0.036,23.878,17,5,37
197,"H1N1","Intensive",1,1,28,500,0.07,28.57,5,2,45
198,"SARS-CoV-2","Intensive",1,1,28,500,0.03,21.618,16,5,34
199,"H1N1","Maximum",1,1,28,500,0.07,28.754,5,2,48.5
200,"SARS-CoV-2","Maximum",1,1,28,500,0.04,21.158,16,5,32
201,"H1N1","Mild",0,4,28,500,0.342,49.682,5,2,104.25
202,"SARS-CoV-2","Mild",0,4,28,500,0.766,62.136,68,36.75,90
203,"H1N1","Moderate",0,4,28,500,0.176,65.392,5,2,85
204,"SARS-CoV-2","Moderate",0,4,28,500,0.102,54.528,28,5,78
205,"H1N1","Intensive",0,4,28,500,0.09,38.234,5,2,61
206,"SARS-CoV-2","Intensive",0,4,28,500,0.064,33.084,22,5,50
207,"H1N1","Maximum",0,4,28,500,0.086,31.826,5,2,56
208,"SARS-CoV-2","Maximum",0,4,28,500,0.066,27.48,21,5,41
209,"H1N1","Mild",0.25,4,28,500,0.344,49.014,5,2,102.25
210,"SARS-CoV-2","Mild",0.25,4,28,500,0.764,62.408,69,32,90
211,"H1N1","Moderate",0.25,4,28,500,0.142,53.874,5,2,77
212,"SARS-CoV-2","Moderate",0.25,4,28,500,0.074,43.336,23.5,5,59
213,"H1N1","Intensive",0.25,4,28,500,0.084,35.226,5,2,58.25
214,"SARS-CoV-2","Intensive",0.25,4,28,500,0.052,30.022,21,5,46
215,"H1N1","Maximum",0.25,4,28,500,0.08,32.06,5,2,57.25
216,"SARS-CoV-2","Maximum",0.25,4,28,500,0.052,26.266,20.5,5,40.25
217,"H1N1","Mild",0.5,4,28,500,0.338,53.224,5,2,105.75
218,"SARS-CoV-2","Mild",0.5,4,28,500,0.76,63.638,70,30.75,95
219,"H1N1","Moderate",0.5,4,28,500,0.102,50.938,5,2,72
220,"SARS-CoV-2","Moderate",0.5,4,28,500,0.058,38.7,22.5,5,59
221,"H1N1","Intensive",0.5,4,28,500,0.078,34.074,5,2,58
222,"SARS-CoV-2","Intensive",0.5,4,28,500,0.048,27.884,20,5,44
223,"H1N1","Maximum",0.5,4,28,500,0.078,31.888,5,2,57
224,"SARS-CoV-2","Maximum",0.5,4,28,500,0.054,24.946,20,5,38
225,"H1N1","Mild",0.75,4,28,500,0.326,54.156,5,2,101
226,"SARS-CoV-2","Mild",0.75,4,28,500,0.748,63.578,67,18.75,92
227,"H1N1","Moderate",0.75,4,28,500,0.094,45.872,5,2,72
228,"SARS-CoV-2","Moderate",0.75,4,28,500,0.056,34.316,22,5,53.25
229,"H1N1","Intensive",0.75,4,28,500,0.076,33.46,5,2,58
230,"SARS-CoV-2","Intensive",0.75,4,28,500,0.038,26.586,20,5,41
231,"H1N1","Maximum",0.75,4,28,500,0.082,31.226,5,2,53.25
232,"SARS-CoV-2","Maximum",0.75,4,28,500,0.05,24.064,19,5,37
233,"H1N1","Mild",1,4,28,500,0.312,56.7,5,2,99.25
234,"SARS-CoV-2","Mild",1,4,28,500,0.742,67.3,73,9.75,100
235,"H1N1","Moderate",1,4,28,500,0.082,41.994,5,2,65
236,"SARS-CoV-2","Moderate",1,4,28,500,0.036,31.23,21.5,5,48
237,"H1N1","Intensive",1,4,28,500,0.074,33.09,5,2,55
238,"SARS-CoV-2","Intensive",1,4,28,500,0.038,25.868,19,5,40
239,"H1N1","Maximum",1,4,28,500,0.07,30.82,5,2,54
240,"SARS-CoV-2","Maximum",1,4,28,500,0.042,24.11,18,5,37.25
